PlayDate,AP,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
Sep 02 2020,M,1,4,17,19,21,26,28,34,35,36,37,44,48,49,52,58,64,67,68,69
Sep 01 2020,M,3,4,11,12,18,25,35,36,39,41,44,45,53,57,59,60,62,64,67,69
Aug 31 2020,M,2,6,7,21,22,25,34,39,41,44,47,48,54,55,57,58,64,65,67,70
Aug 30 2020,M,2,7,8,9,18,22,25,29,31,33,35,36,37,45,47,50,59,62,64,69
Aug 29 2020,M,1,5,8,9,12,18,22,27,33,37,40,44,45,50,54,56,57,59,61,67
Aug 28 2020,M,1,3,10,15,22,23,24,26,27,31,41,46,47,50,51,52,55,56,61,63
Aug 27 2020,M,1,5,12,14,19,21,22,24,28,29,31,34,36,44,46,50,53,56,57,70
Aug 26 2020,M,5,6,18,21,27,30,31,32,47,48,54,56,59,60,62,63,64,65,69,70
Aug 25 2020,M,4,9,11,12,13,16,18,20,28,29,32,35,40,45,46,48,65,66,67,70
Aug 24 2020,M,1,2,3,6,7,9,14,18,25,26,29,37,39,44,45,50,53,55,56,70
Aug 23 2020,M,2,7,8,13,14,16,19,27,29,31,32,35,36,37,43,45,56,59,60,70
Aug 22 2020,M,3,7,9,10,11,15,19,22,23,30,31,34,37,40,53,59,63,64,66,68
Aug 21 2020,M,4,7,9,15,18,19,20,21,30,34,36,40,43,44,53,56,60,61,63,65
Aug 20 2020,M,1,3,4,7,9,10,19,20,22,26,30,32,35,38,41,45,51,54,63,68
Aug 19 2020,M,1,3,6,13,15,21,25,28,30,31,32,36,42,48,49,52,55,60,61,64
Aug 18 2020,M,14,16,17,18,20,25,27,29,32,33,36,38,42,43,46,49,52,58,61,70
Aug 17 2020,M,2,9,12,15,19,22,26,27,29,30,32,34,38,39,44,51,53,59,60,64
Aug 16 2020,M,5,6,7,17,22,25,28,29,37,40,42,44,46,51,52,53,57,61,63,68
